Epoch,Accuracy,Training Loss,Validation Loss,F1 Score,Precision,Recall,f1_score
601,86.64515855,0.008678247,0.004215629,0.609208646,0.695773604,0.607348104,"[0.70383275 0.85981308 0.80294232 0.98273322 0.87915408 0.
 0.51551815 0.91026157 0.87348106 0.85352955 0.39701493 0.
 0.93542074 0.05555556 0.69230769 0.89812646 0.302267   0.30379747]"
602,90.37653351,0.004339045,0.002975202,0.709074317,0.791179347,0.699708845,"[0.79931741 0.88461538 0.90043668 0.98335392 0.8727948  0.07692308
 0.57329377 0.93796526 0.90852191 0.91726106 0.77472527 0.03225806
 0.95740365 0.33121019 0.74901961 0.93087008 0.49678801 0.63657957]"
603,91.97690708,0.003361881,0.002518978,0.761340573,0.852926732,0.741103534,"[0.83175676 0.90833333 0.92307692 0.98877472 0.91193738 0.21276596
 0.61074561 0.93663123 0.92333574 0.95009416 0.83813307 0.27777778
 0.96222664 0.45945946 0.75319927 0.93406277 0.55670103 0.72511848]"
604,93.23767882,0.002946622,0.002159578,0.789793788,0.840497033,0.775515598,"[0.87122527 0.90338983 0.93603313 0.9900627  0.91768144 0.37704918
 0.67623421 0.95075125 0.92026266 0.9622947  0.86404834 0.03174603
 0.94346979 0.67039106 0.84848485 0.95005875 0.64900662 0.75409836]"
605,94.03149807,0.002682179,0.001875455,0.806750625,0.874735338,0.790867578,"[0.9081042  0.9312     0.92946429 0.98993606 0.94383149 0.35897436
 0.723      0.9563087  0.93792766 0.9623431  0.89318413 0.28169014
 0.97580645 0.5049505  0.90421456 0.94945315 0.53452116 0.83660131]"
606,94.26072929,0.002464711,0.001774936,0.834581468,0.872733486,0.815931462,"[0.89256198 0.93333333 0.94257065 0.99206161 0.95128339 0.44117647
 0.68711656 0.95757327 0.93973589 0.97167856 0.88301119 0.48275862
 0.98174442 0.6984127  0.89772727 0.95955451 0.56016598 0.85      ]"
607,94.44326527,0.002311409,0.001753338,0.841701297,0.880814298,0.830303435,"[0.89098153 0.93312352 0.94965358 0.99233921 0.95048494 0.46486486
 0.71139615 0.95983522 0.9426844  0.97226075 0.89478859 0.49411765
 0.98367347 0.74641148 0.88843813 0.96087084 0.57399103 0.84070796]"
608,94.06970327,0.002174912,0.001881125,0.834535854,0.877970385,0.81643087,"[0.88716502 0.94991922 0.9383843  0.98994559 0.93753227 0.45801527
 0.67741935 0.95877988 0.94111946 0.96578826 0.88472906 0.45783133
 0.98562628 0.73       0.8401487  0.95860438 0.59368421 0.86695279]"
609,94.96540306,0.002083779,0.001641139,0.842519281,0.899540732,0.821836573,"[0.92135642 0.95137763 0.93548387 0.99077251 0.95563488 0.42477876
 0.76773146 0.95602837 0.9441849  0.97646516 0.89902913 0.4691358
 0.97768763 0.65934066 0.84816754 0.96176471 0.6812749  0.84513274]"
610,94.51543066,0.001964797,0.001804183,0.836203705,0.887163729,0.812992167,"[0.89541798 0.953125   0.94434307 0.99222044 0.94551116 0.51428571
 0.68518519 0.95592398 0.94632014 0.97562098 0.89421158 0.425
 0.98159509 0.63905325 0.87596899 0.96337533 0.63723608 0.82727273]"
