Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,F1 Score,Precision,Recall,Class 0 F1 Score,Class 0 Precision,Class 0 Recall,Class 1 F1 Score,Class 1 Precision,Class 1 Recall,Class 2 F1 Score,Class 2 Precision,Class 2 Recall,Class 3 F1 Score,Class 3 Precision,Class 3 Recall,Class 4 F1 Score,Class 4 Precision,Class 4 Recall,Class 5 F1 Score,Class 5 Precision,Class 5 Recall,Class 6 F1 Score,Class 6 Precision,Class 6 Recall,Class 7 F1 Score,Class 7 Precision,Class 7 Recall,Class 8 F1 Score,Class 8 Precision,Class 8 Recall,Class 9 F1 Score,Class 9 Precision,Class 9 Recall,Class 10 F1 Score,Class 10 Precision,Class 10 Recall,Class 11 F1 Score,Class 11 Precision,Class 11 Recall,Class 12 F1 Score,Class 12 Precision,Class 12 Recall,Class 13 F1 Score,Class 13 Precision,Class 13 Recall,Class 14 F1 Score,Class 14 Precision,Class 14 Recall,Class 15 F1 Score,Class 15 Precision,Class 15 Recall,Class 16 F1 Score,Class 16 Precision,Class 16 Recall,Class 17 F1 Score,Class 17 Precision,Class 17 Recall
0,72.69299662,87.28191196,0.004817651,0.001920164,0.660452799,0.692675503,0.656610014,0.803061935,0.810962755,0.795313577,0.828207052,0.822652757,0.833836858,0.874205845,0.84729064,0.902887139,0.980082086,0.984956933,0.975255255,0.851612903,0.757998359,0.971608833,0.306569343,0.381818182,0.256097561,0.433207547,0.649321267,0.325028313,0.905683948,0.877016129,0.936289281,0.874188116,0.840036986,0.911233701,0.863413495,0.873405763,0.853647276,0.640216411,0.629432624,0.651376147,0,0,0,0.906354515,0.877022654,0.937716263,0.166666667,0.5,0.1,0.735772358,0.822727273,0.665441176,0.881732371,0.857451404,0.907428571,0.337175793,0.300771208,0.383606557,0.5,0.635294118,0.41221374
1,85.87895291,90.83075094,0.00203575,0.001288638,0.741549484,0.782020686,0.72433416,0.847328244,0.786769049,0.917987595,0.871961102,0.940559441,0.812688822,0.907407407,0.914666667,0.900262467,0.982019364,0.983261079,0.980780781,0.926926927,0.88443171,0.973711882,0.3125,0.434782609,0.243902439,0.652599074,0.598113208,0.718006795,0.931962371,0.947508897,0.916917779,0.895067698,0.864145658,0.928284855,0.908591065,0.901773533,0.915512465,0.823747681,0.833020638,0.814678899,0,0,0,0.95254833,0.967857143,0.937716263,0.4875,0.78,0.354545455,0.785854617,0.843881857,0.735294118,0.916715543,0.941566265,0.893142857,0.375,0.637795276,0.26557377,0.77016129,0.816239316,0.729007634
2,88.48113653,91.79012608,0.001581596,0.001105967,0.780548264,0.819828697,0.773324049,0.869155735,0.848883049,0.8904204,0.87888707,0.958928571,0.811178248,0.907407407,0.874290349,0.943132108,0.98540856,0.997660963,0.973453453,0.939530235,0.895238095,0.988433228,0.338983051,0.555555556,0.243902439,0.661694915,0.824324324,0.552661382,0.943210931,0.9356205,0.950925527,0.902205177,0.8640955,0.943831494,0.927909605,0.908809208,0.947830102,0.840445269,0.849906191,0.831192661,0.178571429,0.416666667,0.113636364,0.979381443,0.972696246,0.98615917,0.67027027,0.826666667,0.563636364,0.812834225,0.788927336,0.838235294,0.924882629,0.950542823,0.900571429,0.533632287,0.405451448,0.780327869,0.755458515,0.882653061,0.660305344
3,89.80557854,91.95143694,0.001350588,0.00110697,0.768151683,0.866410923,0.746248662,0.845290081,0.772079772,0.933838732,0.903633491,0.947019868,0.864048338,0.911815068,0.89270746,0.93175853,0.984327513,0.976702933,0.992072072,0.933663366,0.882132834,0.991587802,0.453781513,0.72972973,0.329268293,0.590782123,0.770491803,0.479048698,0.939374869,0.916121113,0.963839862,0.905439756,0.918041237,0.893179539,0.942518036,0.950258095,0.934903047,0.791793313,0.675745785,0.955963303,0.3,0.5625,0.204545455,0.981067126,0.976027397,0.98615917,0.165289256,0.909090909,0.090909091,0.841509434,0.864341085,0.819852941,0.932095183,0.946933962,0.917714286,0.592255125,0.970149254,0.426229508,0.812095032,0.935323383,0.717557252
4,90.58984347,93.1782485,0.001228634,0.000986544,0.793980056,0.846407139,0.781066657,0.884872825,0.860117111,0.911095796,0.895357986,0.934318555,0.859516616,0.92360515,0.906486942,0.941382327,0.989826814,0.998046159,0.981741742,0.933129148,0.906746032,0.961093586,0.098039216,0.25,0.06097561,0.727177882,0.674081238,0.789354473,0.949521323,0.959964804,0.939302626,0.916459473,0.90877712,0.924272818,0.951568266,0.950691244,0.952446907,0.892086331,0.874779541,0.910091743,0.301886792,0.888888889,0.181818182,0.991304348,0.996503497,0.98615917,0.612716763,0.841269841,0.481818182,0.807086614,0.868644068,0.753676471,0.934739242,0.932347925,0.937142857,0.64496124,0.611764706,0.681967213,0.837301587,0.871900826,0.805343511
5,91.2817815,92.84713673,0.001122786,0.000878448,0.828643755,0.842743591,0.825391788,0.858950032,0.793687902,0.935906272,0.92124105,0.973109244,0.874622356,0.941535777,0.939077459,0.944006999,0.987186428,0.98879248,0.985585586,0.954639175,0.936299292,0.973711882,0.537634409,0.480769231,0.609756098,0.643799472,0.77093207,0.552661382,0.950170358,0.940160135,0.96039604,0.91603821,0.918346774,0.913741224,0.946221604,0.95018622,0.942289935,0.879770992,0.916500994,0.84587156,0.506666667,0.612903226,0.431818182,0.972972973,0.95049505,0.996539792,0.709359606,0.774193548,0.654545455,0.864970646,0.924686192,0.8125,0.940076001,0.962298025,0.918857143,0.526054591,0.423153693,0.695081967,0.858299595,0.913793103,0.809160305
6,91.8028601,93.54756548,0.001038172,0.000827294,0.84770794,0.869703844,0.835252743,0.865540044,0.926829268,0.811853894,0.925349922,0.953525641,0.898791541,0.950477845,0.94391717,0.957130359,0.983588948,0.977348197,0.98990991,0.960945529,0.939698492,0.983175605,0.552631579,0.6,0.512195122,0.712571727,0.660541586,0.773499434,0.953349547,0.98,0.928110202,0.91962981,0.893939394,0.946840522,0.953938277,0.951746324,0.956140351,0.894837476,0.934131737,0.858715596,0.542857143,0.730769231,0.431818182,0.984562607,0.976190476,0.993079585,0.758333333,0.7,0.827272727,0.884688091,0.910505837,0.860294118,0.939631079,0.919584245,0.960571429,0.598825832,0.742718447,0.501639344,0.876984127,0.91322314,0.84351145
7,92.03634001,94.06121323,0.001006991,0.000790612,0.837785934,0.868422251,0.824190442,0.897271809,0.877470356,0.917987595,0.91954023,0.933125972,0.906344411,0.95412844,0.952879581,0.955380577,0.990939841,0.996598226,0.985345345,0.945164506,0.898578199,0.996845426,0.457627119,0.75,0.329268293,0.722852512,0.691115702,0.757644394,0.954682779,0.957161402,0.952216961,0.932766808,0.929745889,0.935807422,0.963117606,0.967832168,0.958448753,0.875247525,0.950537634,0.811009174,0.49382716,0.540540541,0.454545455,0.991304348,0.996503497,0.98615917,0.655172414,0.890625,0.518181818,0.866666667,0.873134328,0.860294118,0.945174186,0.944634703,0.945714286,0.626647145,0.566137566,0.701639344,0.888015717,0.914979757,0.86259542
8,92.47675453,93.89990236,0.000937015,0.000769235,0.832201045,0.865897402,0.817503359,0.890415665,0.887671233,0.893177119,0.935384615,0.952978056,0.918429003,0.944517256,0.943280977,0.94575678,0.991240259,0.997083131,0.985465465,0.933333333,0.963087248,0.905362776,0.554054054,0.621212121,0.5,0.734469489,0.713675214,0.756511891,0.952360877,0.933085502,0.972449419,0.919112384,0.876649977,0.965897693,0.962586605,0.963031423,0.962142198,0.886405959,0.899810964,0.873394495,0.222222222,0.6,0.136363636,0.969594595,0.947194719,0.993079585,0.784313725,0.85106383,0.727272727,0.876447876,0.922764228,0.834558824,0.938751814,0.953982301,0.924,0.616639478,0.613636364,0.619672131,0.867768595,0.945945946,0.801526718
9,92.65186459,94.5239207,0.000900309,0.000702497,0.858296733,0.864926202,0.863155101,0.925487465,0.935256861,0.915920055,0.944776119,0.933628319,0.956193353,0.95,0.936278675,0.964129484,0.988372794,0.991418903,0.985345345,0.967542504,0.948484848,0.987381703,0.424657534,0.484375,0.37804878,0.770591487,0.752699784,0.789354473,0.955021834,0.968985379,0.941455015,0.9361167,0.938950555,0.9332999,0.956480605,0.980601358,0.933518006,0.880626223,0.943396226,0.825688073,0.61971831,0.814814815,0.5,0.987868284,0.989583333,0.98615917,0.740740741,0.625,0.909090909,0.917127072,0.918819188,0.915441176,0.949733221,0.933738266,0.966285714,0.634081902,0.530973451,0.786885246,0.900398406,0.941666667,0.86259542
